id,job_title,location,salary_currency,career_level,experience_level,education_level,employment_type,job_function,job_benefits,company_process_time,company_size,company_industry,job_description,salary
2289,PELAKSANA LAPANGAN,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),3 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Bangunan/Konstruksi,Teknik Sipil/Konstruksi Bangunan",,30 days,,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",Deskripsi Pekerjaan:Menghitung quantity jenis pekerjaanMembuat analisa harga satuanMembuat opname pekerjaDapat membaca gambaKualifikrasi:Menguasai Pekerjaan Teknik Sipil dan BajaDapat Menghitung Volume PekerjaanPendidikan minimal D3/S1Berpengalaman di lapangan untuk pekerjaan Sipil dan Baja minimal 3 Tahun,
2290,MAINTENANCE UTILITY (OPERATOR MTC),Jakarta Utara,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM",Penuh Waktu,"Teknik,Teknik Elektro",Asuransi kesehatan;Bisnis (contoh: Kemeja),23 days,501 - 1000 pekerja,Polymer/Plastik/Karet/Ban,"Persyaratan:Usia maksimal 25 TahunMinimal SMK Jurusan teknikMinimal 1 tahun berpengalaman di perusahaan Manufakturing bidang Injection Molding (Plastik) (repair, preventif, korektif mesin injection & aksesori nya), trouble shoot (robot & mesin), welding (WAJIB)Mempunyai pengalaman melakukan perawatan dan perbaikan utility (mesin, instalasi listrik, perawatan auto loader dan alat pendukung lainnya (chiller, pompa, cooling tower, ac, dan lain nya)) Terbiasa menghandle trouble shoot mesin Injection Molding Plastik (TOSHIBA)Komunikatif, pekerja keras, semangat, disiplin, siap bekerja dibawah tekanan dan bisa bekerja sama dalam teamJam kerja SHIFTBerdomisili & Siap ditempatkan seluruh area Pabrik PT Tssi (Kapuk & Cikarang)Deskripsi pekerjaan:Memastikan mesin produksi dalam keadaan baikMemastikan ulilitas pabrik dan mesin bisa dihandle dengan baik dan sesuai scheduleMemastikan bahwa perlengkapan dan pendukung produksi di maintenance terpenuhi dan dalam keadaan baikMemastikan jadwal maintenance dan perbaikan utility berjalan sesuai dengan scheduleCatatan:Harap mencantumkan Nomor Telepon yang bisa dihubungi.Hanya kandidat yang Memenuhi Kualifikasi yang akan kami Proses.",
2291,Import Staff,Jakarta Utara,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Korporasi","Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",27 days,51 - 200 pekerja,Umum & Grosir,"Job Descriptions:Handling and Checking Document ImportContacting ForwarderArraging and controlling import procedure.Having knowledge SNI, HS Qode, PIB, POSTEL.Requirements:Age 25 - 35 years oldCandidat must possses at least Bachelor's Degree in any field with minimum GPA of 2.75 scale 4.00Candidate must have at least 2 years experience in the same fieldPrefer can speak MANDARINEnglish proficiency both verbal and writtenPrioritize being able to join the company as fast as possible",
2292,IT STAFF (001),Bekasi,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),Kontrak,"Komputer/Teknologi Informasi,IT-Perangkat Lunak","Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",21 days,201 - 500 pekerja,Umum & Grosir,"Kualifikasi:1. IPK Minimal 3.0 - 4.02. Jurusan S1- Teknik Informatika / Sistem Informasi3. Usia kurang lebih 21 tahun4. Memahami PHP, Codeigniter, Mysql, HTML5. Memahami Abab Programming dan Handle System SAP menjadi nilai tambah6. Menguasai Java Script, React JS, Rest API7. Penempatan di PT. MAJ - Tambun PlantGambaran Umum Tugas Pokok:1. Mengkaji, mengembangkan, memonitor dan mengevaluasi application system dan reporting system yang ada berdasarkan bisnis proses dan sasaran2. Bertanggung jawab atas sistem teknologi, membuat dan mengelola sistem web kebut teknis3. Membuat dan mengimplementasikan kebijakan dan prosedur IT (IT Policy) termasuk kebijakan keamanan IT (IT Security).",
2293,ADMINISTRASI PABRIK,Serang,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Sumber Daya Manusia/Personalia,Staf / Administrasi umum",,,,Retail/Merchandise,"Kualifikasi :Lancar baca tulis huruf mandarinMampu berkomunikasi dalam Bahasa mandarin dan Indonesia dengan baik dan lancarMemiliki pengalaman menterjemahkan dokumen Kerjasama dari Bahasa Mandarin ke Bahasa IndonesiaMemiliki kemampuan mengantispasi masalah dan problem solverDapat menggunakan komputer dan mengetik dokumen dalam Bahasa mandarinUntuk penempatan di Serang Banten.Tugas Tanggung Jawab :Melakukan pencatatan dan mendokumentasikan semua barang-barang yang ada di gudangMencatat barang masuk dan keluarMembuat laporan secara berkala (harian, bulanan, dan tahunan)",
2294,Junior Bartender,Jakarta Utara,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Kontrak,"Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran","Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)",28 days,51 - 200 pekerja,Retail/Merchandise,"Job Requirements:Experience minimum 2 year as a Junior BartenderEducation minimum Vocational School preferably from hospitalityGood attitude and communication skillWell groomed and PresentablePhysically and mentally fitJob Descriptions:Mixing, garnishing and serving alcoholic and non-alcoholic drinks according to company specificationsHelping guests choose menu items or guiding them through drink optionsTaking orders and making guests feel taken care of during their time at the restaurant or eventKeeping the bar stocked and clean whileClean glasses, utensils, and bar equipmentStock bar and supplies such as ice, glassware, napkins, or strawsProviding friendly and attentive serviceAdhering to company standards for serving alcoholic beveragesBenefit:Service Charge sharing 7.5%1 Meal and Beverage non Alcohol per day",3250000.0
2295,SAP ABAP PI/PO,Banten,IDR,Pegawai (non-manajemen & non-supervisor),4 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak","Asuransi Gigi;Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);Annual Leave, etc",,201 - 500 pekerja,Komputer/Teknik Informatika (Perangkat Lunak),"If you're someone with Qualification below :4-10 years of ABAP& PI/PO Technical/Development experience at a client site/nearshore centers.Strong ABAP technical skills, BRF, WebDynpro ABAP, Workflow including understanding of software development principlesIndividual must be a hands on resource with strong skills in SAP ABAP/PI development. Knowledge in SAP PI version 7.4/7.5 capabilities and configuration, working knowledge of REST adapter. Experience in connecting PI to both SAP and multiple NON-SAP systems. An understanding of JAVA is required.Needs an understanding of the overall SAP enterprise system landscape, as well as the capabilities of PI in conjunction with non-SAP systems. Expertise in Java, XSLT and ABAP mapping. SLD/ESR/ID configuration, BPM, EDI and web services.Strong communication skills, both written and oralExcellent teamwork and interpersonal skillsTypically has 3 or more years consulting and/or industry experienceNeeds to be a strong addition to working teamsAptitude for trouble-shooting and problem-solvingHands-on programming experienceWhat your Responsibilities?Must be able to combine business processes with PI/PO development tools. Involved in all phases of the lifecycle including; proof of concept, blueprinting, mapping, design, configuration, testing, go-live, and O&M support. Demonstrates the ability to translate business needs into solution architecture requirements and understands the long-term and short-term perspectives of an IT investment situation.Person will be responsible for delivering middleware solutions for interfaces between various SAP applications.Responsible for supporting and independently completing project tasksIdentifies key drivers of a defined, straightforward problem and proposing solutionsIdentifies and solves problems using analysis, experience, and decision makingSelects the most relevant tools/techniques to meet specific client requirementsUnderstands the benefits of using state of the art methods and tools and their application on a particular engagement; contributes to continuous development of methods and toolsManages work to work plans for components on engagementsMay independently own a work stream, reviewing, and potentially directing the work of more junior staffDevelops solutions to client problems through application of methods and tools; validates solutions to subject matter expertsDemonstrates accountability and contributions to the successful realization of client goals",
2296,Marketing,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Tidak terspesifikasi,Penuh Waktu,"Bangunan/Konstruksi,Properti/Real Estate","Tunjangan Pendidikan;Asuransi kesehatan;Pinjaman;Olahraga (contoh: pusat kebugaran);Bisnis (contoh: Kemeja);Senin s/d Jum'at : 08.00 - 16.00, Sabtu : 08.00 - 14.00",19 days,51 - 200 pekerja,Umum & Grosir,"Kualifikasi:Minimal lulusan SMK/SMA/MA sederajatUsia maksimal 30 tahunPengalaman 1 tahun di bidang marketing atau sales (diutamakan yang berpengalaman di bidang kontraktor atau developer rumah)Passion bekerja di bidang marketingMampu bernegosiasi dan komunikasi yang baikDapat handle complain klienMembuat surat kontrakBertanggung jawab, disiplin, jujur, dan telitiDapat bergabung secepatnyaBersedia bekerja secara shiftPaham betul dalam menggunakan sosial mediaTanggung jawab:Melakukan penawaran kepada klien melalui telepon, pesan atau emailMelayani customer melalui telepon, pesan, atau emailMampu bernegosiasi dan komunikasi yang baikMembuat surat kontrakMembagi permintaan client ke KCU secara merata",
2297,REGIONAL MANAGER (RM),Jakarta Raya,IDR,Manajer/Asisten Manajer,3 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",,,,Pelayanan Perbaikan & Pemeliharaan,"Deskripsi Pekerjaan:Membuat laporan absensi untuk ODS & teknisiMembuat laporan Out Door Service (ODS)Membuat laporan SVS (Teknisi)Membuat jadwal kunjungan luar kota (LK) untuk ODS & teknisiKualifikasi:Pendidikan minimal D3Usia maksimal 35 TahunSehat secara jasmani & rohaniPengalaman kerja minimal 3 tahun dibidang yang samaDiutamakan mengerti teknikBisa bekerja dalam team work serta dapat bekerja dibawah tekananJujur,Rajin dan DisiplinMempunyai communication skill yang baik serta mampu   mengkoordinasikan bawahan dengan baikTerbiasa dengan pembuatan laporan harian,mingguan dan bulananFamiliar dengan computer (Ms.Office,Ms.Word,Ms.Excel,Ms.Power Point, dan lain lain )Lokasi penempatan Jakarta",
2298,SOFTWARE QUALITY ASSURANCE,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Tidak terspesifikasi,Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",,,1- 50 pekerja,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)","Persyaratan:Memahami logika pemrogramanMemahami database yang berbasis SQL maupun NoSQLMenguasai testing lifecycle, testing skenario, dan testing toolsMemiliki pengalaman sebagai Software Quality Assurance minimal 2 tahunBertanggungjawab, komunikatif, cepat belajar, proaktif, dan dapat bekerjasamadalam teamDeskripsi Pekerjaan:Bertanggungjawab atas testing lifecycle terhadap aplikasi sebelum diserahkankepada userMembuat dokumentasi lengkap terkait proses testing",
2299,Credit Analyst,Jakarta Pusat,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),Penuh Waktu,"Akuntansi / Keuangan,Perbankan / Jasa Finansial ","Asuransi Gigi;Tunjangan Pendidikan;Tip;Asuransi kesehatan;Pinjaman;Olahraga (contoh: pusat kebugaran);Parkir;Penglihatan;Waktu regular, Senin - Jumat;Formil (contoh: Kemeja + Dasi)",25 days,201 - 500 pekerja,Perbankan/Pelayanan Keuangan,"Requirement:Candidate must possess at least Bachelor's Degree in Finance, Accounting, or equivalent.Required language(s): English (business level)Deep understanding in financial statement analysisRequired Skill(s): Microsoft Office, Financial Analysis, Writing and presentation in EnglishPreferably Staff (non-management & non-supervisor) specialized in Banking/Financial Services or equivalent.Minimum has one year of working experience in related field (Fresh graduate are welcome to apply)Brief Job Description:Assign internal rating and collectibility assessment for existing and new customers.Input customer's financial data into core banking system.Review the credit application and make a presentation in the Credit Meeting.",
2300,Staff Audit Internal,Madiun,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Akuntansi / Keuangan,Audit & Pajak",Asuransi kesehatan;Formal;Monday - Saturday,,501 - 1000 pekerja,Produk Konsumen/Barang konsumen yang bergerak cepat,"Deskripsi Pekerjaan :Melakukan pemeriksaan audit di semua departemen dan pelaksanaan SOP yang ada didepo seperti opname (faktur, stock, uang dan giro), serta pemeriksaan lain.Melakukan pemeriksaan di lapangan seperti verifikasi (outlet, sales, penagihan, ataupun verifikasi lain)Mendampingi Accounting melakukan Stock Opname bulanan.Melakukan perjalanan dinas luar kota untuk pemeriksaan audit ke depo lain.Membuat pelaporan hasil analisa dan pemeriksaan hasil audit.Dan aktifitas audit lainnya sesuai dengan instruksi pimpinan.Kualifikasi :Usia Maksimal Usia 35 tahunMinimal pendidikan S1 AkutansiPengalaman dibidang yang sama minimal 2 tahunBersedia MobileMemiliki SIM CUntuk penempatan Madiun dan Babat- LamonganDi utamakan domisili Madiun dan Babat",
2301,STAFF ACCOUNTING,Jakarta Barat,IDR,Pegawai (non-manajemen & non-supervisor),3 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan","Asuransi Gigi;Tip;Asuransi kesehatan;Bisnis (contoh: Kemeja);7 AM - 4 PM, Monday - Friday",,51 - 200 pekerja,Lainnya,Deskripsi pekerjaan:Melakukan recap penjualan harian.Melakukan rekap absensi karyawanMelakukan pembayaran harianMelakukan penagihan ke customerMelakukan stock opname barangInput data accurateMembuat laporan keuanganMembuat laporan laba rugiMembuat laporan pengeluaranPersyaratan:Pendidikan minimal SMK Akuntansi/FinanceMemiliki pengalaman di bidang Akuntansi / keuangan minimal 3 tahunDiutamakan pengalaman di bidang Food & Beverages (Restoran)Dapat menggunakan aplikasi komputer dengan baik (sistem accurate)Memilki kejujuran dan integritas yang tinggi serta inisiatifMemiliki komunikasi yang baik serta perilaku dan sikap yang baik,4750000.0
2302,Mekanik Senior / Foreman,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),4 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Kontrak,"Teknik,Mekanikal","Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos);BPJS Kesehatan, BPJS Ketenagakerjaan",16 days,501 - 1000 pekerja,Automobil/Mesin Tambahan Automotif/Kendaraan,"Persyaratan :Usia 20 - 35 tahun.Pendidikan minimal SMK/STM OtomotifPengalaman minimal 4 tahun dibidangnya (Untuk posisi Foreman)Pernah menjadi SA atau Foreman di ATPM menjadi nilai tambahMampu mengoprasikan Ms. Office menjadi nilai tambah (Untuk posisi Foreman)Percaya diri dan memiliki kemampuan komunikasi yang baikPekerja keras, jujur, teliti dan bertanggung jawabMampu bekerjasama dalam teamBersedia ditempatkan di JABODETABEK dan SerangRincian Pekerjaan :Mekanik Senior:Mengerjakan perbaikan / perawatan kendaraan sesuai perintah pada Work OrderMelakukan perbaikan kendaraan sesuai dengan Standard Operation ProsedureMelakukan Pemeriksaan Checklist 58 item diluar perintah Kerja pada Work OrderMenginformasikan Kerusakan yang di temukan di luar Perintah kerja pada Work Order pada Foreman / Kepala Bengkel untuk ditindak lanjutiMelakukan Perbaikan kendaraan dengan benar sesuai dengan Estimasi / Janji kepada PelangganMenjaga Kebersihan kendaraan Pelanggan selama melakukan perbaikanMelakukan pemeriksaan ulang (Final Inspection) terhadap Pekerjaan yang sudah dilakukanMemelihara (menjaga kebersihan dan kelengkapan) peralatan kerja dan tempat kerjaForeman :Mengembangkan Menganalisa PKB/Work Order dari Service Advisor untuk mendistribusikan job kepada mekanik.Mengawasi kerja mekanik sesuai PKB/Work Order dan flate rate yang ditetapkan.Membantu menyelesaikan persoalan yang dihadapi mekanik, dengan menjelaskan cara “ Trouble Shooting “.Mendukung mekanik dalam penyedian suku cadang dan penyediaan tools.Membuat laporan berkala mengenai job return, problem yang dihadapi untuk diserahkan pada atasan.Memeriksa hasil kerja mekanik sesuai dengan PKB / Work Order.Menjelaskan pada pelanggan tentang kondisi kendaraan yang sedang diperbaikiMelakukan test drive terhadap kendaran yang telah selesai diperbaiki",
